Date,Electricity_Consumption_kWh,Water_Consumption_m3,Tranche_1_Limit_kWh,Tranche_2_Limit_kWh,Tranche_3_Limit_kWh,Tranche_1_Price_MAD,Tranche_2_Price_MAD,Tranche_3_Price_MAD,Tranche_1_Water_Limit_m3,Tranche_2_Water_Limit_m3,Tranche_3_Water_Limit_m3,Water_Price_Tranche_1_MAD,Water_Price_Tranche_2_MAD,Water_Price_Tranche_3_MAD,Temperature_C,Humidity_%,Wind_Speed_m/s,Rainfall_mm
2022-01-01,244.0349700267251,20.279669645933165,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,21.02264852676086,49.59602684458719,5.160138789649075,3.1180759921499597
2022-01-02,221.1208969152832,19.43149659005801,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,16.450970975416716,64.22263802035033,2.987309776860159,3.4397630467238076
2022-01-03,223.32612495926335,21.38890757696469,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,23.188850256928884,68.33727851054783,2.1438788131769924,2.0532674306132708
2022-01-04,244.46396716269822,23.863315968030058,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,12.468488339668788,41.620604021449935,3.3551957104428025,1.9759243919447993
2022-01-05,195.16759295024193,20.802011515874906,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,10.15533177973784,61.53781970670813,5.930624272696722,1.3656936832141195
2022-01-06,278.7643590088077,14.531585496909365,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,24.22192283788957,35.04763622871596,4.058534298580055,1.3103445975469699
2022-01-07,252.58065904328834,20.97258295689812,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,19.55365844519876,55.56869248615066,2.5808789047667227,1.2111609787120896
2022-01-08,228.49364865891673,24.37180200837568,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,17.773992065057904,33.75196183163467,0.0,1.5177808563290676
2022-01-09,265.6101543426878,23.50658047470476,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,22.88045095646867,55.23258088207131,4.776668036465698,0.7898103458684003
2022-01-10,265.80060843811333,19.610661592047396,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,27.421408087917417,51.153446210542704,3.0187750105931177,1.3222838536723216
2022-01-11,222.8197244942679,21.19094904677603,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,27.951233272867135,51.54401222164065,4.61760689927007,2.5894268539307768
2022-01-12,258.6306647808639,25.978058829587457,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,28.57692152026072,55.532526244310205,2.372078285899274,0.27950324878851296
2022-01-13,258.6866778457949,19.773785473340272,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,19.24387652859715,70.41105644292341,1.2690590720400028,2.5378539753072813
2022-01-14,243.10021484566147,25.51862281758099,150,300,450,0.7,1.0,1.3,10,20,30,5.5,8,11,32.19181825625252,46.82208523968448,4.304025227277535,1.0307263473080703
