iter	Passed	Remaining
0	145	14443
1	146	7183
2	147	4764
3	148	3553
4	148	2826
5	149	2342
6	150	1996
7	150	1735
8	151	1532
9	152	1369
10	152	1236
11	153	1124
12	153	1030
13	154	949
14	155	878
15	155	816
16	155	761
17	156	712
18	156	668
19	157	628
20	157	592
21	158	560
22	158	530
23	158	503
24	159	477
25	159	454
26	160	433
27	160	413
28	161	394
29	161	376
30	161	360
31	162	344
32	162	330
33	163	316
34	163	303
35	163	291
36	164	279
37	164	268
38	165	258
39	165	248
40	165	238
41	166	229
42	166	220
43	167	212
44	167	204
45	167	197
46	168	189
47	168	182
48	169	176
49	169	169
50	169	163
51	170	157
52	170	151
53	171	145
54	171	140
55	172	135
56	172	130
57	173	125
58	173	120
59	174	116
60	174	111
61	174	107
62	175	102
63	175	98
64	175	94
65	176	90
66	176	87
67	177	83
68	177	79
69	178	76
70	178	72
71	178	69
72	179	66
73	179	63
74	180	60
75	180	56
76	180	53
77	181	51
78	181	48
79	182	45
80	182	42
81	182	40
82	183	37
83	183	34
84	184	32
85	184	30
86	184	27
87	185	25
88	186	22
89	186	20
90	186	18
91	187	16
92	187	14
93	188	12
94	188	9
95	188	7
96	189	5
97	189	3
98	189	1
99	190	0
